,0
0,125669.0
1,174861.0
2,185087.0
3,190581.0
4,213893.0
5,162391.0
6,174137.0
7,152199.0
8,213867.0
9,109505.0
10,206899.0
11,86347.0
12,82509.0
13,146099.0
14,100419.0
15,364924.0
16,281812.0
17,292403.0
18,294711.0
19,446325.0
20,333823.0
21,220281.0
22,189609.0
23,164615.0
24,178041.0
25,196407.0
26,337275.0
27,215809.0
28,216224.0
29,252593.0
30,203285.0
31,106657.0
32,199185.0
33,315679.0
34,295223.0
35,235047.0
36,173999.0
37,172929.0
38,153943.0
39,135735.0
40,176919.0
41,119299.0
42,318444.0
43,234195.0
44,223947.0
45,186845.0
46,269213.0
47,208271.0
48,146315.0
49,146525.0
50,167165.0
51,185691.0
52,138621.0
53,168204.0
54,199919.0
55,154845.0
56,186541.0
57,117955.0
58,228575.0
59,131129.0
60,138087.0
61,174483.0
62,100531.0
63,111849.0
64,117649.0
65,107693.0
66,84365.0
67,124785.0
68,156711.0
69,210307.0
70,111623.0
71,101147.0
72,184287.0
73,116717.0
74,164643.0
75,103709.0
76,53591.0
77,172997.0
78,196791.0
79,124020.0
80,139501.0
81,166093.0
82,205357.0
83,78473.0
84,112017.0
85,133725.0
86,160537.0
87,144335.0
88,115421.0
89,139439.0
90,116489.0
91,168631.0
92,168384.0
93,95177.0
94,156333.0
95,39389.0
96,128961.0
97,94761.0
98,33458.0
99,133969.0
100,145131.0
101,134973.0
102,129517.0
103,145999.0
104,138987.0
105,234679.0
106,62601.0
107,220709.0
108,130273.0
109,130735.0
110,91731.0
111,150073.0
112,282097.0
113,141105.0
114,247269.0
115,233491.0
116,187017.0
117,136017.0
118,139381.0
119,183999.0
120,158337.0
121,120835.0
122,297495.0
123,226459.0
124,136481.0
125,87601.0
126,74228.0
127,163639.0
128,96975.0
129,126477.0
130,100371.0
131,112047.0
132,129835.0
133,330858073528831.0
134,115582.0
135,245739.0
136,199649.0
137,209403.0
138,226493.0
139,200041.0
140,64168.0
141,124783.0
142,45481.0
143,279657.0
144,244377.0
145,178489.0
146,161147.0
147,207029.0
148,201980.0
149,135595.0
150,130529.0
151,174033.0
152,162513.0
153,138773.0
154,78365.0
155,63421.0
156,70401.0
157,124989.0
158,146689.0
159,194687.0
160,121527.0
161,139541.0
162,274861.0
163,222969.0
164,121927.0
165,163351.0
166,188361.0
167,298619.0
168,169527.0
169,348315.0
170,245833.0
171,255059.0
172,163361.0
173,180981.0
174,165715.0
175,146673.0
176,192503.0
177,184019.0
178,163753.0
179,246423.0
180,162727.0
181,236303.0
182,230775.0
183,235165.0
184,213417.0
185,157209.0
186,149075.0
187,129177.0
188,129887.0
189,104803.0
190,107155.0
191,85759.0
192,81665.0
193,144573.0
194,123543.0
195,141461.0
196,153757.0
197,151947.0
198,114599.0
199,143437.0
200,429525.0
201,382516.0
202,350391.0
203,502129.0
204,296407.0
205,334593.0
206,379305.0
207,327627.0
208,307635.0
209,336797.0
210,289705.0
211,387823.0
212,324169.0
213,256571.0
214,219031.0
215,215447.0
216,237705.0
217,451793.0
218,377669.0
219,313294.0
220,247023.0
221,331285.0
222,198241.0
223,173993.0
224,169807.0
225,160393.0
226,160923.0
227,189621.0
228,187207.0
229,194313.0
230,176875.0
231,248589.0
232,165473.0
233,171463.0
234,149703.0
235,284015.0
236,153317.0
237,357457.0
238,323353.0
239,271125.0
240,282955.0
241,241283.0
242,238715.0
243,276793.0
244,240033.0
245,381829.0
246,222628.0
247,211969.0
248,257611.0
249,221535.0
250,270493.0
251,264984.0
252,273963.0
253,224843.0
254,203243.0
255,191083.0
256,171659.0
257,150931.0
258,232165.0
259,264203.0
260,159287.0
261,125761.0
262,153073.0
263,220146.0
264,240645.0
265,174405.0
266,160581.0
267,140987.0
268,154655.0
269,152605.0
270,122423.0
271,133403.0
272,125275.0
273,111466.0
274,99027.0
275,98659.0
276,289463.0
277,266597.0
278,272111.0
279,224338.0
280,197529.0
281,169313.0
282,177863.0
283,318753.0
284,225647.0
285,149231.0
286,213811.0
287,226827.0
288,139703.0
289,121081.0
290,234557.0
291,109885.0
292,159969.0
293,195785.0
294,165047.0
295,135929.0
296,122471.0
297,128727.0
298,138185.0
299,166611.0
300,160643.0
301,173363.0
302,189671.0
303,106309.0
304,179127.0
305,194583.0
306,234465.0
307,140889.0
308,168027.0
309,168511.0
310,116663.0
311,134029.0
312,100357.0
313,146429.0
314,147455.0
315,123279.0
316,101785.0
317,159795.0
318,148965.0
319,152859.0
320,124485.0
321,74803.0
322,131817.0
323,87475.0
324,135895.0
325,112313.0
326,148443.0
327,30465.0
328,114236.0
329,77027.0
330,202307.0
331,158473.0
332,129839.0
333,185061.0
334,140883.0
335,119841.0
336,115867.0
337,121529.0
338,104539.0
339,114607.0
340,117999.0
341,97079.0
342,143947.0
343,116761.0
344,137287.0
345,130939.0
