Id,SalePrice
1461,125441.23826726084
1462,175712.87610076868
1463,185032.84936978784
1464,190716.55026265013
1465,213948.60758935218
1466,162533.78959405178
1467,173992.76352264453
1468,152295.50429487252
1469,214146.4304658668
1470,109527.07596648473
1471,203369.6006137383
1472,86316.39093712531
1473,82473.18819776794
1474,145664.20451824786
1475,99648.32398813975
1476,364860.5778271812
1477,281556.8270331279
1478,292061.35088108433
1479,294436.74245718727
1480,446168.57980574225
1481,333897.59477539896
1482,220241.1572630304
1483,189441.28089759976
1484,164490.08383567492
1485,178093.416255255
1486,196596.0219107148
1487,336998.28300092905
1488,218799.20132058254
1489,216207.56671560602
1490,252314.14839835174
1491,203208.35350239975
1492,106275.01084772078
1493,200039.10739300586
1494,315190.46231972193
1495,295230.6190005641
1496,235165.71907398105
1497,174082.75309289363
1498,172604.324415938
1499,153317.12044929725
1500,135804.66141413501
1501,177051.76509826188
1502,119713.73837059957
1503,318238.7980326046
1504,234238.7050008258
1505,223893.6679417257
1506,186985.3379642791
1507,269242.6675022566
1508,207712.3792404657
1509,146666.938021478
1510,146580.2580260745
1511,166887.40666155342
1512,185370.83365970594
1513,138888.2939151401
1514,168990.80728445027
1515,199852.44919570477
1516,155057.9370788458
1517,186659.944079814
1518,117804.10490750568
1519,228044.69318008982
1520,131212.66698040534
1521,138137.03095017036
1522,174546.52841010015
1523,100514.9492107
1524,111798.64735803823
1525,117766.0352810002
1526,107897.21080805408
1527,84606.35122605704
1528,125186.0550492662
1529,156504.56530197558
1530,210352.11427095148
1531,111930.59311052377
1532,101381.0766426666
1533,183342.18214202672
1534,118035.75321566896
1535,164627.4951809931
1536,103831.14570631692
1537,53526.7930298103
1538,172857.01709467988
1539,197014.2507224934
1540,124452.13781133399
1541,139354.96450212772
1542,165374.26000233367
1543,205495.4858323104
1544,79009.24994827074
1545,110711.89845867339
1546,133850.8476835715
1547,160120.186178562
1548,144505.3822803396
1549,115548.02658622747
1550,139714.0630602321
1551,116957.15301658818
1552,168299.82009852608
1553,168020.1829221712
1554,95253.25807949621
1555,156665.9549753042
1556,39940.5791158214
1557,128826.7282832081
1558,94660.43445516133
1559,35069.95994170243
1560,133917.74682661472
1561,141658.25018854823
1562,134940.231237298
1563,129506.74604235764
1564,146616.62689817057
1565,139245.58283141372
1566,235451.3535874437
1567,62746.412364381016
1568,221310.26651460084
1569,129508.35878439504
1570,130933.43128125335
1571,91852.31380602275
1572,150004.20323413727
1573,281454.23602060275
1574,140826.37462954316
1575,247449.3103324303
1576,234106.81751778396
1577,186987.08156772167
1578,136014.2623591948
1579,139078.5178342457
1580,184151.42255926703
1581,158007.06706133077
1582,120960.90904261137
1583,297407.18344651046
1584,226571.02389774087
1585,136735.3412972598
1586,86474.76262229122
1587,75872.8448725401
1588,164135.97071564547
1589,96701.48077271483
1590,126723.24405518756
1591,100256.70076882024
1592,111857.71238117444
1593,129716.20425456122
1594,177756.20613869315
1595,115623.88472433528
1596,245656.737958604
1597,199349.86666260788
1598,209116.77637314878
1599,225399.58825164882
1600,198773.95404737082
1601,64086.73936280585
1602,124753.11694259464
1603,45816.46594143729
1604,280073.13562587067
1605,244469.7273602127
1606,177971.72619163746
1607,161187.61737403122
1608,206932.0740094215
1609,201927.03659286478
1610,135661.6276598788
1611,130852.32883839007
1612,173814.31814310362
1613,162406.37482187373
1614,138886.90909135249
1615,78364.00870565628
1616,63166.82062653301
1617,70311.56675313564
1618,124621.21642308938
1619,147056.38250674435
1620,194176.3581547715
1621,121492.1348608071
1622,139431.23697058752
1623,275274.0324675044
1624,223035.22237603995
1625,122110.94537228567
1626,163470.33925028215
1627,188490.5295394587
1628,298708.6174165029
1629,169449.76912359963
1630,348373.11661332985
1631,244091.86068149656
1632,255010.28646046063
1633,163461.54594551527
1634,181104.04842991952
1635,165865.19855773542
1636,146672.2684338378
1637,192506.77178156492
1638,183859.99570848676
1639,163991.1793489895
1640,246631.7256753879
1641,163088.02237525838
1642,236328.11676232517
1643,230552.60634147166
1644,235217.00264487986
1645,213071.95317742322
1646,157288.32862997917
1647,149410.7303045498
1648,129305.26695130009
1649,129899.46875693765
1650,104955.85279276723
1651,107161.11955916754
1652,85750.86270164221
1653,81878.39858512918
1654,143698.565068066
1655,122849.94120790204
1656,140912.64259872958
1657,152993.15356497362
1658,151228.0762155006
1659,114011.07887226122
1660,143430.21273595258
1661,428807.26306915795
1662,382324.74156052154
1663,350120.58687534346
1664,499824.5876463349
1665,296138.43469411763
1666,335143.9751665809
1667,378619.79904170893
1668,327867.15496681165
1669,307524.72466729535
1670,336555.9237374107
1671,289642.73472575005
1672,387633.2570011867
1673,323906.53765534563
1674,256347.6016474478
1675,218988.96328710357
1676,215579.02876830148
1677,237511.27682268317
1678,451730.4677797486
1679,377524.16060370416
1680,313442.6119056146
1681,246970.13947303954
1682,331102.2313494608
1683,198297.28862087196
1684,174060.54359642696
1685,169888.04629565892
1686,160258.76189294236
1687,160956.53881249297
1688,189739.3103434567
1689,187350.21712114627
1690,194424.06787054823
1691,176997.34598247765
1692,248530.53392052941
1693,165487.0032063335
1694,171468.59612521948
1695,149670.98327505612
1696,283541.53371667
1697,153487.52556670143
1698,357409.3375303815
1699,322460.6336799711
1700,271286.25966722076
1701,283089.86304648663
1702,241114.38815483125
1703,238615.82101331
1704,276794.56609681644
1705,240173.53298570728
1706,383593.4520509206
1707,222641.75722127093
1708,211893.20840130153
1709,257503.53224954312
1710,221471.7680889652
